timestamp,run_id,mode,title,description,tags,category,thumbnail_text,seo_keywords,target_audience,estimated_watch_time,news_count,news_topics,video_url,view_count,like_count,comment_count,ctr,avg_view_duration
2025-10-03T13:54:24.503090,test_001,daily,【速報】日経平均10%急騰！その理由と今後の展開,本日の日経平均株価の急騰について解説します...,"[""経済ニュース"", ""株価"", ""日経平均"", ""投資""]",News & Politics,10%急騰,"[""日経平均"", ""株価急騰"", ""経済ニュース""]",投資家,15分,3,日経平均が年初来高値を更新 | 米国株も連日の高値,,,,,,
2025-10-03T13:56:36.178235,test_202510031400,breaking,【緊急】円安150円突破！あなたの資産への影響は？,本日、円安が150円を突破しました。詳細を解説します...,"[""円安"", ""為替"", ""経済ニュース"", ""投資"", ""資産運用""]",News & Politics,150円突破,"[""円安"", ""150円"", ""為替市場""]",投資家・資産運用に関心のある方,12分,2,円安が150円を突破、30年ぶりの水準 | 日銀の対応に市場が注目,https://youtu.be/test_video_123,5000,250,30,8.50%,450.5s
2025-10-03T14:03:16.247114,test_sheets_final,test,【テスト】Google Sheets連携確認,テスト用メタデータ,"[""テスト"", ""Google Sheets""]",News & Politics,テスト,"[""テスト""]",テスト視聴者,1分,1,テストニュース,,,,,,
2025-10-03T14:03:41.616243,sheets_success_001,daily,【速報】Google Sheets連携成功！メタデータ自動記録,Google Sheetsへのメタデータ自動記録が正常に動作しています,"[""成功"", ""Google Sheets"", ""メタデータ記録""]",News & Politics,連携成功,"[""Google Sheets"", ""自動記録""]",開発者,5分,1,Google Sheets連携完了のお知らせ,,,,,,
2025-10-03T19:35:33.741942,2d656920,daily,【速報】日銀利上げ秒読み！植田総裁発言で市場激震！,"2025年10月3日の経済ニュースを解説します。

日銀の植田和男総裁が、10月か12月の日銀会合で政策金利の引き上げに踏み切る可能性を示唆しました。この発言は市場に大きな衝撃を与え、インフレ懸念や為替相場への影響が懸念されています。

今回の動画では、以下の内容を詳しく解説します。

*   植田総裁の発言内容の詳細
*   政策金利引き上げの可能性と時期
*   金融市場への影響（株価、為替）
*   私たちの生活への影響（住宅ローン、物価）
*   今後の投資戦略

出典:
*   TBS NEWS DIG: 日銀・植田総裁、10月か12月に政策金利引き上げの可能性に言及
*   テレビ朝日 NEWS: 日銀植田総裁が大阪経済4団体主催懇談会で強調した日本経済の現状と展望

動画内では、世界経済の現状、主要国の金融政策の動向、金融政策が私たちの生活に与える影響についても解説します。

【出演者】
田中: 経済アナリスト
鈴木: ファイナンシャルプランナー

#日銀 #植田和男 #利上げ #金融政策 #経済ニュース #株価 #為替 #インフレ #投資 #金融市場 #経済 #ニュース","[""日銀"", ""植田和男"", ""利上げ"", ""金融政策"", ""経済ニュース"", ""株価"", ""為替"", ""インフレ"", ""投資"", ""金融市場"", ""経済"", ""ニュース解説"", ""日本経済"", ""速報"", ""緊急"", ""政策金利"", ""日銀会合"", ""金融引き締め"", ""市場動向"", ""経済予測""]",25,日銀利上げ秒読み開始！,"[""日銀 利上げ"", ""植田総裁 発言"", ""金融政策 影響"", ""株価 暴落"", ""為替 相場"", ""インフレ対策"", ""投資戦略"", ""経済ニュース"", ""日銀会合""]",投資家、ビジネスパーソン、経済に関心のある一般層,15,2,日銀・植田総裁、10月か12月に政策金利引き上げの可能性に言... | 日銀植田総裁が大阪経済4団体主催懇談会で強調した日本経済の現...,https://www.youtube.com/watch?v=QCNDCwjH10o,,,,,
2025-10-03T20:40:13.725113,fe00bd80,daily,【衝撃】株価800円高の裏で富が5兆円流出！日本を貧しくする「見えざる罠」の正体とは？,"日経平均が一時800円超の大幅高！しかし、この株高の裏で、日本の富が年間5兆円も静かに海外へ流出している事実をご存知ですか？「なぜ日本は豊かさを取り戻せないのか…」その犯人は、私たち自身の生活に潜む「見えざる罠」かもしれません。

この動画では、2025年10月3日の最新経済ニュースを分かりやすく解説するとともに、日本経済が抱える構造的な問題点に鋭く切り込みます。株価上昇に沸く市場の裏側で、私たちの資産がどのように失われているのか。そのメカニズムと対策を徹底的に掘り下げます。

【本日のニュース解説】
✅ 日経平均800円超高騰！米国のテクノロジー株高を受け、AI・半導体関連銘柄が市場をけん引。しかし自民党総裁選を控え、市場の本当のセンチメントは？
✅ 日銀・植田総裁が大阪で会見。気になる物価上昇リスクと今後の金融政策について「情報が不足している」と慎重な姿勢。利上げはまだ遠いのか？
✅ G7がロシア産原油への関税強化で合意。しかし日本は「適用困難」と表明。エネルギー安全保障と国際協調の狭間で、日本が下すべき決断とは。

【本日の深掘りテーマ】
なぜ、日本は豊かになれないのか？その答え","[""経済ニュース"", ""日経平均株価"", ""デジタル赤字"", ""資産防衛"", ""日本経済"", ""株式投資"", ""半導体株"", ""AI関連銘柄"", ""日銀"", ""植田和男"", ""金融政策"", ""物価上昇"", ""G7"", ""ロシア"", ""原油価格"", ""エネルギー問題"", ""経済解説"", ""投資初心者""]",ニュースと政治,【警告】株高の裏で富が流出中,"[""日経平均株価 見通し"", ""日銀 金融政策"", ""デジタル赤字 とは"", ""日本経済 問題点"", ""資産防衛 方法"", ""原油価格 高騰 影響"", ""植田総裁 会見"", ""半導体株 投資"", ""G7 ロシア制裁"", ""経済ニュース 解説""]",経済ニュースや自身の資産形成に関心のある30代〜60代の男女。日本の将来に漠然とした不安を感じ、ニュースの裏側にある構造的な問題を理解したいと考えている知的好奇心の高い層や個人投資家。,14分,3,日経平均株価 一時800円超値上がり、米株高とテクノロジー株... | 日銀・植田総裁、大阪経済4団体会見で物価上昇リスクと今後の見... | ロシアからの原油輸入に対するG7の関税措置強化で日本の対応は...,https://www.youtube.com/watch?v=u1lUkbxpE4Y,,,,,
2025-10-03T23:23:52.877656,66203ccc,daily,【速報】日経平均800円爆上げ！だが日銀が「年内利上げ」示唆。市場の本当の狙いとは？,"2025年10月3日の経済ニュースを速報解説！
日経平均株価が一時800円以上も急騰し、4万5700円台を突破しました。この背景には、アメリカ市場でのAI・半導体関連株の好調な動きがあります。しかし、その一方で日本銀行の植田総裁が「年内の利上げ」を示唆する重大発言。この株価上昇と利上げ観測という、相反する材料が渦巻く市場の今後の展開を徹底的に分析します。

株価はどこまで上がるのか？日銀の利上げは本当に10月か12月に行われるのか？そして、自民党総裁選を控えた政治の動きは市場にどう影響するのか？投資家が今知るべき情報を、専門的な視点からわかりやすく解説します。

この動画を見れば、今日の市場のポイントと、今後の資産運用戦略を立てる上での重要なヒントが得られます。ぜひ最後までご覧ください！

【本日のニュース解説】
00:00 オープニング
00:45 【解説1】日経平均株価が800円超の大幅上昇！その理由は？
01:30   - アメリカ市場の動向とAI・半導体セクターの強さ
03:15   - 自民党総裁選を前にした市場心理とは
05:00 【解説2】日銀・植田総裁が「年内利上げ」を","[""経済ニュース"", ""日経平均株価"", ""株価"", ""株式投資"", ""日本株"", ""利上げ"", ""日本銀行"", ""日銀"", ""植田和男"", ""金融政策"", ""金融政策決定会合"", ""AI関連株"", ""半導体株"", ""資産運用"", ""投資"", ""経済解説"", ""米国市場"", ""自民党総裁選""]",ニュースと政治,日経平均 爆上げ！ vs 日銀「年内利上げ」,"[""日経平均株価 見通し"", ""日銀 利上げ いつ"", ""今後の株価"", ""経済ニュース 解説"", ""植田総裁 会見"", ""AI 半導体 株"", ""2025年 経済予測"", ""投資 初心者"", ""資産運用"", ""日本経済""]",30代から60代の、投資や資産運用に関心のある個人投資家およびビジネスパーソン,12分,2,日経平均株価 一時800円超値上がり | 日本銀行 総裁会見,https://www.youtube.com/watch?v=oyE0rw7FBDM,,,,,
2025-10-03T23:37:51.582081,8fd0288b,daily,"【衝撃】あなたのNISAが日本を貧しくする？日銀利上げで加速する""国富流出""の正体","2025年10月3日、今日の経済ニュースを深掘り解説します。

日銀・植田総裁が年内の利上げを強く示唆し、市場に緊張が走りました。一方で、日経平均株価は一時800円を超える急騰を見せ、投資家心理は一見好調に見えます。しかし、その裏では「あなたのNISAが日本を貧しくしている」という衝撃的な事実が隠されているかもしれません。

この動画では、日米の金利差が生み出す「金融の重力」によって、日本の個人資産80兆円が海外へ流出している実態を徹底解説。なぜNISAが国富流出の一因となり得るのか、そして目前に迫る日銀の利上げが私たちの資産にどのような影響を与えるのか、専門家が分かりやすく紐解きます。自民党総裁選を控えた市場の不確実性も踏まえ、今あなたが取るべき賢い資産防衛術とは？

【本日のニュースサマリー】
✅ 日銀・植田総裁、10月か12月の利上げを強く示唆。市場の反応は？
✅ 日経平均株価が一時800円超の急騰！米株高が追い風も、総裁選控え警戒感も。
✅ 投資家は様子見ムード？自民党総裁選が市場に与える影響を分析。

【タイムスタンプ】
00:00 オープニング「あなたのNISAが日本を貧し","[""経済ニュース"", ""NISA"", ""資産運用"", ""日銀"", ""利上げ"", ""植田和男"", ""日経平均株価"", ""株式投資"", ""日本経済"", ""円安"", ""為替"", ""投資初心者"", ""新NISA"", ""国富流出"", ""金融政策"", ""自民党総裁選"", ""資産防衛"", ""FRB""]",ニュースと政治,【警告】あなたのNISAが日本を貧しくする,"[""経済ニュース 解説"", ""NISA 国富流出"", ""日銀 利上げ いつ"", ""日経平均株価 見通し"", ""植田総裁 会見"", ""2025年 経済予測"", ""資産運用 初心者"", ""円安 対策"", ""自民党総裁選 影響"", ""金融の重力""]",NISAや株式投資に関心のある20代〜60代の個人投資家、日本の経済動向を把握したいビジネスパーソン,13,3,日銀・植田総裁、10月か12月の政策金利引き上げを示唆 | 日経平均株価が一時800円超の急上昇、米株高を受けて | 日本の総裁選を控え積極的な投資行動に慎重ムード,https://www.youtube.com/watch?v=BrJjPIekAs8,,,,,
2025-10-04T00:42:35.247720,e70aee4d,daily,【10月4日速報】自民党総裁選、市場激震！新総裁で株価は？迫る日銀10月利上げの衝撃シナリオ,"2025年10月4日の日本経済、激動の一日を速報解説！本日投開票の自民党総裁選の結果が市場に与える衝撃とは？そして、月末に迫る日銀の「10月利上げ」の可能性が急浮上。元日銀理事が語るその背景と、あなたの資産に与える影響を徹底分析します。さらに、昨日の日経平均1.9%上昇の裏側や、日米経済の新たな動きまで、今日の最重要ニュースを深掘りします。

▼本日のニュース解説 INDEX
00:00 オープニング＆本日の注目ポイント
01:15 【最重要】自民党総裁選、新総裁で日本経済はどう変わる？
04:30 【警告】日銀、10月30日利上げの可能性高まる！円高・株安に備えよ
08:00 日経平均1.9%上昇！テクノロジー株主導の裏にある懸念材料
10:20 日米経済界が共同声明、貿易摩擦の行方は？
12:00 まとめと今後の見通し

▼各ニュースの詳細

【1】日銀、10月30日に利上げの可能性高まる
元日本銀行理事の桜井誠氏が、日銀が10月30日の金融政策決定会合で利上げに踏み切る可能性が高いとの見方を示しました。安定したインフレと堅調な経済が背景にあり、市場の期待と合致しています。この利上","[""経済ニュース"", ""日本経済"", ""株式投資"", ""日銀"", ""利上げ"", ""金融政策決定会合"", ""自民党総裁選"", ""高市早苗"", ""河野太郎"", ""日経平均株価"", ""株価"", ""為替"", ""円相場"", ""投資初心者"", ""資産運用"", ""経済解説"", ""マーケット情報"", ""政治経済""]",ニュースと政治,市場激震！新総裁 vs 日銀利上げ,"[""日銀 利上げ いつ"", ""自民党総裁選 2025"", ""高市早苗 経済政策"", ""日経平均 今後の見通し"", ""日本株 投資"", ""円高 シナリオ"", ""経済ニュース 解説"", ""2025年10月 経済動向"", ""株式市場 影響"", ""金融ニュース""]",経済や投資に関心のある30代〜60代の男女。特に、株式投資や資産運用を行っている個人投資家やビジネスパーソン。,14,4,日銀、10月30日に利上げの可能性高まる－元理事桜井氏が示唆 | 日本自民党総裁選、対米関係と市場に与える影響－高市氏のナショ... | 日米ビジネスリーダー、貿易・投資の透明性強化で共同声明－経済...,https://www.youtube.com/watch?v=qSWjZfkimtc,,,,,
2025-10-04T01:34:18.851761,63ad55ae,--daily,【警告】あなたのNISAが円安を加速！専門家が予測する1ドル200円の悪夢,"あなたの資産が、静かに目減りしているとしたら…？その原因が、将来のために始めたはずの『新NISA』だとしたら信じられますか？

2025年10月、ダウ平均が史上最高値を更新し、Nvidiaも好調を維持する一方で、私たちの足元では深刻な事態が進行しています。多くの方が良かれと思って始めた新NISAによる海外投資が、歴史的な円安を加速させ、専門家からは「1ドル200円もあり得る」という衝撃的な予測まで飛び出しています。

この動画では、現在の株式市場の表と裏を徹底解説。
好調に見える米国市場の裏で、なぜAIセクター内で選別売りが起きているのか？そして、最も重要な「新NISAが円安を招く」という不都合な真実のメカニズムを、専門家の対話形式で分かりやすく解き明かします。

「将来のための投資が、なぜ自分の生活を圧迫するのか？」
このままでは、輸入品は高騰し、あなたの資産は実質的に目減りし続けるかもしれません。この動画を最後まで見て、円安地獄からあなたの資産を守るための具体的な知識と対策を学びましょう。

【本日のトピック】
✅ Dow Jones史上最高値更新！なぜAIセクターは明暗が分かれた","[""新NISA"", ""円安"", ""経済ニュース"", ""投資"", ""資産運用"", ""株式投資"", ""米国株"", ""Nvidia"", ""ダウ平均"", ""為替"", ""ドル円"", ""1ドル200円"", ""資産防衛"", ""インフレ"", ""AI"", ""投資初心者"", ""経済解説""]",ニュースと政治,新NISAの罠 1ドル200円へ,"[""新NISA デメリット"", ""円安 理由"", ""円安 対策"", ""1ドル200円 予測"", ""資産防衛 方法"", ""Nvidia 株価 見通し"", ""ダウ平均 最高値"", ""AI 関連銘柄"", ""経済ニュース 解説"", ""投資 初心者 NISA""]",新NISAを始めた、または検討している20代〜60代の投資初心者・中級者。円安や日本の将来に不安を感じている全ての人々。,15分,1,Dow Jonesが史上最高値更新、Nvidiaが再び最高値...,,,,,,
